tbs,snr,bler,itbs,nr,nru
16,-18,0.9997558594,0,4,4
16,-18,1,0,1,1
16,-18,1,0,2,2
16,-17.5,0,0,64,64
16,-17.5,0,0,128,128
16,-17.5,0.0002441406,0,32,32
16,-17.5,0.1998291016,0,16,16
16,-17.5,0.9314575195,0,8,8
16,-17.5,0.999206543,0,4,4
16,-17.5,1,0,1,1
16,-17.5,1,0,2,2
16,-17,0,0,32,32
16,-17,0,0,64,64
16,-17,0,0,128,128
16,-17,0.0996704102,0,16,16
16,-17,0.8720703125,0,8,8
16,-17,0.9981384277,0,4,4
16,-17,1,0,1,1
16,-17,1,0,2,2
16,-16.5,0,0,32,32
16,-16.5,0,0,64,64
16,-16.5,0,0,128,128
16,-16.5,0.041229248,0,16,16
16,-16.5,0.7798461914,0,8,8
16,-16.5,0.9964904785,0,4,4
16,-16.5,1,0,1,1
16,-16.5,1,0,2,2
16,-16,0,0,32,32
16,-16,0,0,64,64
16,-16,0,0,128,128
16,-16,0.0140380859,0,16,16
16,-16,0.660369873,0,8,8
16,-16,0.9918823242,0,4,4
16,-16,0.9999389648,0,2,2
16,-16,1,0,1,1
16,-15.5,0,0,32,32
16,-15.5,0,0,64,64
16,-15.5,0,0,128,128
16,-15.5,0.0039978027,0,16,16
16,-15.5,0.5072021484,0,8,8
16,-15.5,0.9822998047,0,4,4
16,-15.5,0.9999389648,0,2,2
16,-15.5,1,0,1,1
16,-15,0,0,32,32
16,-15,0,0,64,64
16,-15,0,0,128,128
16,-15,0.0009460449,0,16,16
16,-15,0.3382568359,0,8,8
16,-15,0.9646911621,0,4,4
16,-15,0.9995727539,0,2,2
16,-15,1,0,1,1
16,-14.5,0,0,32,32
16,-14.5,0,0,64,64
16,-14.5,0,0,128,128
16,-14.5,0.0002441406,0,16,16
16,-14.5,0.2069091797,0,8,8
16,-14.5,0.9287414551,0,4,4
16,-14.5,0.9991455078,0,2,2
16,-14.5,1,0,1,1
16,-14,0,0,16,16
16,-14,0,0,32,32
16,-14,0,0,64,64
16,-14,0,0,128,128
16,-14,0.1047668457,0,8,8
16,-14,0.8731384277,0,4,4
16,-14,0.9985961914,0,2,2
16,-14,1,0,1,1
16,-13.5,0,0,16,16
16,-13.5,0,0,32,32
16,-13.5,0,0,64,64
16,-13.5,0,0,128,128
16,-13.5,0.0412902832,0,8,8
16,-13.5,0.7816772461,0,4,4
16,-13.5,0.9965209961,0,2,2
16,-13.5,1,0,1,1
16,-13,0,0,16,16
16,-13,0,0,32,32
16,-13,0,0,64,64
16,-13,0,0,128,128
16,-13,0.0149841309,0,8,8
16,-13,0.6529846191,0,4,4
16,-13,0.9920043945,0,2,2
16,-13,1,0,1,1
16,-12.5,0,0,16,16
16,-12.5,0,0,32,32
16,-12.5,0,0,64,64
16,-12.5,0,0,128,128
16,-12.5,0.0043029785,0,8,8
16,-12.5,0.4989318848,0,4,4
16,-12.5,0.9827270508,0,2,2
16,-12.5,1,0,1,1
16,-12,0,0,16,16
16,-12,0,0,32,32
16,-12,0,0,64,64
16,-12,0,0,128,128
16,-12,0.0009460449,0,8,8
16,-12,0.3474121094,0,4,4
16,-12,0.9639282227,0,2,2
16,-12,0.9997253418,0,1,1
16,-11.5,0,0,16,16
16,-11.5,0,0,32,32
16,-11.5,0,0,64,64
16,-11.5,0,0,128,128
16,-11.5,0.0002746582,0,8,8
16,-11.5,0.2052612305,0,4,4
16,-11.5,0.9307250977,0,2,2
16,-11.5,0.9991149902,0,1,1
16,-11,0,0,8,8
16,-11,0,0,16,16
16,-11,0,0,32,32
16,-11,0,0,64,64
16,-11,0,0,128,128
16,-11,0.1036071777,0,4,4
16,-11,0.869934082,0,2,2
16,-11,0.9987792969,0,1,1
16,-10.5,0,0,8,8
16,-10.5,0,0,16,16
16,-10.5,0,0,32,32
16,-10.5,0,0,64,64
16,-10.5,0,0,128,128
16,-10.5,0.0418395996,0,4,4
16,-10.5,0.7816467285,0,2,2
16,-10.5,0.9971618652,0,1,1
16,-10,0,0,8,8
16,-10,0,0,16,16
16,-10,0,0,32,32
16,-10,0,0,64,64
16,-10,0,0,128,128
16,-10,0.0143737793,0,4,4
16,-10,0.660369873,0,2,2
16,-10,0.9938659668,0,1,1
16,-9.5,0,0,8,8
16,-9.5,0,0,16,16
16,-9.5,0,0,32,32
16,-9.5,0,0,64,64
16,-9.5,0,0,128,128
16,-9.5,0.0040893555,0,4,4
16,-9.5,0.5090026855,0,2,2
16,-9.5,0.9875183105,0,1,1
16,-9,0,0,8,8
16,-9,0,0,16,16
16,-9,0,0,32,32
16,-9,0,0,64,64
16,-9,0,0,128,128
16,-9,0.0009460449,0,4,4
16,-9,0.3487243652,0,2,2
16,-9,0.9748535156,0,1,1
16,-8.5,0,0,8,8
16,-8.5,0,0,16,16
16,-8.5,0,0,32,32
16,-8.5,0,0,64,64
16,-8.5,0,0,128,128
16,-8.5,0.0002441406,0,4,4
16,-8.5,0.2099914551,0,2,2
16,-8.5,0.9491882324,0,1,1
16,-8,0,0,8,8
16,-8,0,0,16,16
16,-8,0,0,32,32
16,-8,0,0,64,64
16,-8,0,0,128,128
16,-8,3.0517578125E-05,0,4,4
16,-8,0.104309082,0,2,2
16,-8,0.9042053223,0,1,1
16,-7.5,0,0,4,4
16,-7.5,0,0,8,8
16,-7.5,0,0,16,16
16,-7.5,0,0,32,32
16,-7.5,0,0,64,64
16,-7.5,0,0,128,128
16,-7.5,0.043182373,0,2,2
16,-7.5,0.8296203613,0,1,1
16,-7,0,0,4,4
16,-7,0,0,8,8
16,-7,0,0,16,16
16,-7,0,0,32,32
16,-7,0,0,64,64
16,-7,0,0,128,128
16,-7,0.0140991211,0,2,2
16,-7,0.7230529785,0,1,1
16,-6.5,0,0,4,4
16,-6.5,0,0,8,8
16,-6.5,0,0,16,16
16,-6.5,0,0,32,32
16,-6.5,0,0,64,64
16,-6.5,0,0,128,128
16,-6.5,0.0039367676,0,2,2
16,-6.5,0.5882568359,0,1,1
16,-6,0,0,4,4
16,-6,0,0,8,8
16,-6,0,0,16,16
16,-6,0,0,32,32
16,-6,0,0,64,64
16,-6,0,0,128,128
16,-6,0.0011901855,0,2,2
16,-6,0.4327087402,0,1,1
16,-5.5,0,0,4,4
16,-5.5,0,0,8,8
16,-5.5,0,0,16,16
16,-5.5,0,0,32,32
16,-5.5,0,0,64,64
16,-5.5,0,0,128,128
16,-5.5,0.0001525879,0,2,2
16,-5.5,0.2886657715,0,1,1
16,-5,0,0,4,4
16,-5,0,0,8,8
16,-5,0,0,16,16
16,-5,0,0,32,32
16,-5,0,0,64,64
16,-5,0,0,128,128
16,-5,3.0517578125E-05,0,2,2
16,-5,0.1586303711,0,1,1
16,-4.5,0,0,4,4
16,-4.5,0,0,8,8
16,-4.5,0,0,16,16
16,-4.5,0,0,32,32
16,-4.5,0,0,64,64
16,-4.5,0,0,128,128
16,-4.5,3.0517578125E-05,0,2,2
16,-4.5,0.0762634277,0,1,1
16,-4,0,0,2,2
16,-4,0,0,4,4
16,-4,0,0,8,8
16,-4,0,0,16,16
16,-4,0,0,32,32
16,-4,0,0,64,64
16,-4,0,0,128,128
16,-4,0.0317382813,0,1,1
16,-3.5,0,0,2,2
16,-3.5,0,0,4,4
16,-3.5,0,0,8,8
16,-3.5,0,0,16,16
16,-3.5,0,0,32,32
16,-3.5,0,0,64,64
16,-3.5,0,0,128,128
16,-3.5,0.0096740723,0,1,1
16,-3,0,0,2,2
16,-3,0,0,4,4
16,-3,0,0,8,8
16,-3,0,0,16,16
16,-3,0,0,32,32
16,-3,0,0,64,64
16,-3,0,0,128,128
16,-3,0.0029296875,0,1,1
16,-2.5,0,0,2,2
16,-2.5,0,0,4,4
16,-2.5,0,0,8,8
16,-2.5,0,0,16,16
16,-2.5,0,0,32,32
16,-2.5,0,0,64,64
16,-2.5,0,0,128,128
16,-2.5,0.0004882813,0,1,1
16,-2,0,0,2,2
16,-2,0,0,4,4
16,-2,0,0,8,8
16,-2,0,0,16,16
16,-2,0,0,32,32
16,-2,0,0,64,64
16,-2,0,0,128,128
16,-2,6.103515625E-05,0,1,1
16,-1.5,0,0,2,2
16,-1.5,0,0,4,4
16,-1.5,0,0,8,8
16,-1.5,0,0,16,16
16,-1.5,0,0,32,32
16,-1.5,0,0,64,64
16,-1.5,0,0,128,128
16,-1.5,6.103515625E-05,0,1,1
16,-1,0,0,1,1
16,-1,0,0,2,2
16,-1,0,0,4,4
16,-1,0,0,8,8
16,-1,0,0,16,16
16,-1,0,0,32,32
16,-1,0,0,64,64
16,-1,0,0,128,128
16,-0.5,0,0,1,1
16,-0.5,0,0,2,2
16,-0.5,0,0,4,4
16,-0.5,0,0,8,8
16,-0.5,0,0,16,16
16,-0.5,0,0,32,32
16,-0.5,0,0,64,64
16,-0.5,0,0,128,128
16,0,0,0,1,1
16,0,0,0,2,2
16,0,0,0,4,4
16,0,0,0,8,8
16,0,0,0,16,16
16,0,0,0,32,32
16,0,0,0,64,64
16,0,0,0,128,128
16,0.5,0,0,1,1
16,0.5,0,0,2,2
16,0.5,0,0,4,4
16,0.5,0,0,8,8
16,0.5,0,0,16,16
16,0.5,0,0,32,32
16,0.5,0,0,64,64
16,0.5,0,0,128,128
16,1,0,0,1,1
16,1,0,0,2,2
16,1,0,0,4,4
16,1,0,0,8,8
16,1,0,0,16,16
16,1,0,0,32,32
16,1,0,0,64,64
16,1,0,0,128,128
16,1.5,0,0,1,1
16,1.5,0,0,2,2
16,1.5,0,0,4,4
16,1.5,0,0,8,8
16,1.5,0,0,16,16
16,1.5,0,0,32,32
16,1.5,0,0,64,64
16,1.5,0,0,128,128
16,2,0,0,1,1
16,2,0,0,2,2
16,2,0,0,4,4
16,2,0,0,8,8
16,2,0,0,16,16
16,2,0,0,32,32
16,2,0,0,64,64
16,2,0,0,128,128
16,2.5,0,0,1,1
16,2.5,0,0,2,2
16,2.5,0,0,4,4
16,2.5,0,0,8,8
16,2.5,0,0,16,16
16,2.5,0,0,32,32
16,2.5,0,0,64,64
16,2.5,0,0,128,128
16,3,0,0,1,1
16,3,0,0,2,2
16,3,0,0,4,4
16,3,0,0,8,8
16,3,0,0,16,16
16,3,0,0,32,32
16,3,0,0,64,64
16,3,0,0,128,128
16,3.5,0,0,1,1
16,3.5,0,0,2,2
16,3.5,0,0,4,4
16,3.5,0,0,8,8
16,3.5,0,0,16,16
16,3.5,0,0,32,32
16,3.5,0,0,64,64
16,3.5,0,0,128,128
16,4,0,0,1,1
16,4,0,0,2,2
16,4,0,0,4,4
16,4,0,0,8,8
16,4,0,0,16,16
16,4,0,0,32,32
16,4,0,0,64,64
16,4,0,0,128,128
16,4.5,0,0,1,1
16,4.5,0,0,2,2
16,4.5,0,0,4,4
16,4.5,0,0,8,8
16,4.5,0,0,16,16
16,4.5,0,0,32,32
16,4.5,0,0,64,64
16,4.5,0,0,128,128
16,5,0,0,1,1
16,5,0,0,2,2
16,5,0,0,4,4
16,5,0,0,8,8
16,5,0,0,16,16
16,5,0,0,32,32
16,5,0,0,64,64
16,5,0,0,128,128
16,5.5,0,0,1,1
16,5.5,0,0,2,2
16,5.5,0,0,4,4
16,5.5,0,0,8,8
16,5.5,0,0,16,16
16,5.5,0,0,32,32
16,5.5,0,0,64,64
16,5.5,0,0,128,128
16,6,0,0,1,1
16,6,0,0,2,2
16,6,0,0,4,4
16,6,0,0,8,8
16,6,0,0,16,16
16,6,0,0,32,32
16,6,0,0,64,64
16,6,0,0,128,128
16,6.5,0,0,1,1
16,6.5,0,0,2,2
16,6.5,0,0,4,4
16,6.5,0,0,8,8
16,6.5,0,0,16,16
16,6.5,0,0,32,32
16,6.5,0,0,64,64
16,6.5,0,0,128,128
16,7,0,0,1,1
16,7,0,0,2,2
16,7,0,0,4,4
16,7,0,0,8,8
16,7,0,0,16,16
16,7,0,0,32,32
16,7,0,0,64,64
16,7,0,0,128,128
16,7.5,0,0,1,1
16,7.5,0,0,2,2
16,7.5,0,0,4,4
16,7.5,0,0,8,8
16,7.5,0,0,16,16
16,7.5,0,0,32,32
16,7.5,0,0,64,64
16,7.5,0,0,128,128
16,8,0,0,1,1
16,8,0,0,2,2
16,8,0,0,4,4
16,8,0,0,8,8
16,8,0,0,16,16
16,8,0,0,32,32
16,8,0,0,64,64
16,8,0,0,128,128
16,8.5,0,0,1,1
16,8.5,0,0,2,2
16,8.5,0,0,4,4
16,8.5,0,0,8,8
16,8.5,0,0,16,16
16,8.5,0,0,32,32
16,8.5,0,0,64,64
16,8.5,0,0,128,128
16,9,0,0,1,1
16,9,0,0,2,2
16,9,0,0,4,4
16,9,0,0,8,8
16,9,0,0,16,16
16,9,0,0,32,32
16,9,0,0,64,64
16,9,0,0,128,128
16,9.5,0,0,1,1
16,9.5,0,0,2,2
16,9.5,0,0,4,4
16,9.5,0,0,8,8
16,9.5,0,0,16,16
16,9.5,0,0,32,32
16,9.5,0,0,64,64
16,9.5,0,0,128,128
16,10,0,0,1,1
16,10,0,0,2,2
16,10,0,0,4,4
16,10,0,0,8,8
16,10,0,0,16,16
16,10,0,0,32,32
16,10,0,0,64,64
16,10,0,0,128,128
16,10.5,0,0,1,1
16,10.5,0,0,2,2
16,10.5,0,0,4,4
16,10.5,0,0,8,8
16,10.5,0,0,16,16
16,10.5,0,0,32,32
16,10.5,0,0,64,64
16,10.5,0,0,128,128
16,11,0,0,1,1
16,11,0,0,2,2
16,11,0,0,4,4
16,11,0,0,8,8
16,11,0,0,16,16
16,11,0,0,32,32
16,11,0,0,64,64
16,11,0,0,128,128
16,11.5,0,0,1,1
16,11.5,0,0,2,2
16,11.5,0,0,4,4
16,11.5,0,0,8,8
16,11.5,0,0,16,16
16,11.5,0,0,32,32
16,11.5,0,0,64,64
16,11.5,0,0,128,128
16,12,0,0,1,1
16,12,0,0,2,2
16,12,0,0,4,4
16,12,0,0,8,8
16,12,0,0,16,16
16,12,0,0,32,32
16,12,0,0,64,64
16,12,0,0,128,128
16,12.5,0,0,1,1
16,12.5,0,0,2,2
16,12.5,0,0,4,4
16,12.5,0,0,8,8
16,12.5,0,0,16,16
16,12.5,0,0,32,32
16,12.5,0,0,64,64
16,12.5,0,0,128,128
16,13,0,0,1,1
16,13,0,0,2,2
16,13,0,0,4,4
16,13,0,0,8,8
16,13,0,0,16,16
16,13,0,0,32,32
16,13,0,0,64,64
16,13,0,0,128,128
16,13.5,0,0,1,1
16,13.5,0,0,2,2
16,13.5,0,0,4,4
16,13.5,0,0,8,8
16,13.5,0,0,16,16
16,13.5,0,0,32,32
16,13.5,0,0,64,64
16,13.5,0,0,128,128
16,14,0,0,1,1
16,14,0,0,2,2
16,14,0,0,4,4
16,14,0,0,8,8
16,14,0,0,16,16
16,14,0,0,32,32
16,14,0,0,64,64
16,14,0,0,128,128
16,14.5,0,0,1,1
16,14.5,0,0,2,2
16,14.5,0,0,4,4
16,14.5,0,0,8,8
16,14.5,0,0,16,16
16,14.5,0,0,32,32
16,14.5,0,0,64,64
16,14.5,0,0,128,128
16,15,0,0,1,1
16,15,0,0,2,2
16,15,0,0,4,4
16,15,0,0,8,8
16,15,0,0,16,16
16,15,0,0,32,32
16,15,0,0,64,64
16,15,0,0,128,128
16,15.5,0,0,1,1
16,15.5,0,0,2,2
16,15.5,0,0,4,4
16,15.5,0,0,8,8
16,15.5,0,0,16,16
16,15.5,0,0,32,32
16,15.5,0,0,64,64
16,15.5,0,0,128,128
16,16,0,0,1,1
16,16,0,0,2,2
16,16,0,0,4,4
16,16,0,0,8,8
16,16,0,0,16,16
16,16,0,0,32,32
16,16,0,0,64,64
16,16,0,0,128,128
16,16.5,0,0,1,1
16,16.5,0,0,2,2
16,16.5,0,0,4,4
16,16.5,0,0,8,8
16,16.5,0,0,16,16
16,16.5,0,0,32,32
16,16.5,0,0,64,64
16,16.5,0,0,128,128
16,17,0,0,1,1
16,17,0,0,2,2
16,17,0,0,4,4
16,17,0,0,8,8
